month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,year
2023-09,Colorado,7012.0,19.0,16429.0,12217.0,1475.0,1872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39320,2023
2023-08,Colorado,7833.0,8.0,16006.0,10591.0,1453.0,1616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37881,2023
2023-07,Colorado,8015.0,6.0,15430.0,9647.0,1422.0,1493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36324,2023
2023-06,Colorado,8170.0,14.0,16583.0,10450.0,1482.0,1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38588,2023
2023-05,Colorado,9246.0,11.0,18190.0,11014.0,1574.0,1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42050,2023
2023-04,Colorado,9217.0,6.0,20159.0,13616.0,2038.0,2246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47614,2023
2023-03,Colorado,11466.0,5.0,24432.0,15658.0,2504.0,2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56915,2023
2023-02,Colorado,8940.0,18.0,19318.0,11729.0,1886.0,1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44124,2023
2023-01,Colorado,7464.0,11.0,18373.0,11230.0,2031.0,1668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41139,2023
2022-12,Colorado,6354.0,11.0,22830.0,15437.0,1959.0,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48901,2022
2022-11,Colorado,6598.0,35.0,20088.0,13493.0,1551.0,1819,2.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43932,2022
2022-10,Colorado,6631.0,21.0,18115.0,12580.0,1582.0,1626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40891,2022
2022-09,Colorado,6664.0,51.0,18944.0,12605.0,1649.0,1591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,54.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41857,2022
2022-08,Colorado,7271.0,128.0,20557.0,13165.0,1812.0,1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45130,2022
2022-07,Colorado,6833.0,15.0,18940.0,11365.0,1789.0,1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41071,2022
2022-06,Colorado,7284.0,25.0,20602.0,12857.0,2061.0,2040,2.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45272,2022
2022-05,Colorado,6357.0,19.0,19421.0,11234.0,1495.0,1590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40505,2022
2022-04,Colorado,7092.0,10.0,20608.0,12516.0,1799.0,1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44201,2022
2022-03,Colorado,9295.0,20.0,23755.0,15419.0,1985.0,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52984,2022
2022-02,Colorado,7055.0,19.0,19591.0,12402.0,1590.0,1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42694,2022
2022-01,Colorado,7817.0,6.0,18435.0,11107.0,1758.0,1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40897,2022
2021-12,Colorado,7671.0,5.0,24959.0,17729.0,2067.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54788,2021
2021-11,Colorado,7367.0,5.0,21290.0,16190.0,1581.0,1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48728,2021
2021-10,Colorado,7640.0,22.0,19992.0,15443.0,1553.0,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46964,2021
2021-09,Colorado,8741.0,19.0,19018.0,14169.0,1696.0,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45908,2021
2021-08,Colorado,9196.0,11.0,19708.0,13900.0,1582.0,1613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46385,2021
2021-07,Colorado,9905.0,5.0,19230.0,12186.0,1582.0,1508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44778,2021
2021-06,Colorado,9963.0,17.0,19416.0,11932.0,1666.0,1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44970,2021
2021-05,Colorado,11105.0,3.0,21819.0,12848.0,1987.0,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50079,2021
2021-04,Colorado,12220.0,7.0,27130.0,16132.0,2436.0,2650,1.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60918,2021
2021-03,Colorado,13329.0,10.0,31050.0,19529.0,2771.0,2669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69757,2021
2021-02,Colorado,10891.0,6.0,21729.0,13839.0,1960.0,1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50485,2021
2021-01,Colorado,10179.0,13.0,30172.0,18855.0,2702.0,2730,1.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65051,2021
2020-12,Colorado,10201.0,13.0,25577.0,19716.0,2132.0,2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60239,2020
2020-11,Colorado,8841.0,10.0,27091.0,20410.0,2421.0,2347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61362,2020
2020-10,Colorado,11161.0,37.0,25802.0,17699.0,2102.0,1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59132,2020
2020-09,Colorado,10309.0,24.0,24260.0,15873.0,1919.0,1721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54479,2020
2020-08,Colorado,11194.0,16.0,25765.0,16476.0,1948.0,1610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57388,2020
2020-07,Colorado,11124.0,31.0,29171.0,15184.0,2077.0,1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59666,2020
2020-06,Colorado,9000.0,0.0,35381.0,16998.0,2250.0,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66038,2020
2020-05,Colorado,3946.0,0.0,27297.0,15043.0,1998.0,1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49967,2020
2020-04,Colorado,1763.0,0.0,29865.0,16199.0,2133.0,2074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52249,2020
2020-03,Colorado,5654.0,0.0,43322.0,22756.0,2086.0,3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77305,2020
2020-02,Colorado,6336.0,0.0,19931.0,11285.0,1505.0,1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40549,2020
2020-01,Colorado,7802.0,0.0,19614.0,11451.0,1757.0,1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42133,2020
2019-12,Colorado,4867.0,0.0,22531.0,16681.0,1762.0,1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47496,2019
2019-11,Colorado,4765.0,0.0,17950.0,13946.0,1475.0,1272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39682,2019
2019-10,Colorado,6006.0,0.0,15537.0,13269.0,1347.0,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37564,2019
2019-09,Colorado,5583.0,0.0,14614.0,12289.0,1520.0,1015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35333,2019
2019-08,Colorado,6188.0,0.0,17237.0,12352.0,1522.0,1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38755,2019
2019-07,Colorado,6156.0,0.0,15550.0,9601.0,1238.0,916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33812,2019
2019-06,Colorado,5983.0,0.0,16013.0,10215.0,1360.0,913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34773,2019
2019-05,Colorado,6697.0,0.0,16653.0,10619.0,1445.0,1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36814,2019
2019-04,Colorado,7612.0,0.0,17199.0,11594.0,1470.0,1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,71.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39433,2019
2019-03,Colorado,7183.0,0.0,22511.0,13791.0,1720.0,1371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46915,2019
2019-02,Colorado,6987.0,0.0,18697.0,11731.0,1550.0,1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40467,2019
2019-01,Colorado,7292.0,0.0,16417.0,11575.0,1796.0,996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38491,2019
2018-12,Colorado,5636.0,0.0,22627.0,18734.0,1874.0,1343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50544,2018
2018-11,Colorado,6330.0,0.0,18926.0,15702.0,1547.0,1238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44094,2018
2018-10,Colorado,7004.0,0.0,15101.0,13079.0,1111.0,935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37586,2018
2018-09,Colorado,6491.0,0.0,14546.0,12061.0,1022.0,933,2.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35347,2018
2018-08,Colorado,10004.0,0.0,16160.0,12392.0,1062.0,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40922,2018
2018-07,Colorado,9818.0,0.0,15420.0,10239.0,1106.0,901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37788,2018
2018-06,Colorado,9778.0,0.0,15796.0,10351.0,1215.0,964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38395,2018
2018-05,Colorado,11662.0,0.0,16113.0,11143.0,1282.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,88.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41583,2018
2018-04,Colorado,11917.0,0.0,19015.0,13280.0,1744.0,1211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47462,2018
2018-03,Colorado,14922.0,0.0,24811.0,17741.0,2381.0,1640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61839,2018
2018-02,Colorado,9321.0,0.0,20604.0,13985.0,1701.0,1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,49.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221,2018
2018-01,Colorado,9683.0,0.0,17498.0,12153.0,1307.0,1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41989,2018
2017-12,Colorado,8736.0,0.0,26649.0,21168.0,1736.0,1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59800,2017
2017-11,Colorado,6887.0,0.0,23682.0,17832.0,1483.0,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51473,2017
2017-10,Colorado,4075.0,0.0,17238.0,15967.0,1428.0,1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40163,2017
2017-09,Colorado,4356.0,0.0,15751.0,13448.0,1007.0,1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35873,2017
2017-08,Colorado,5219.0,0.0,16610.0,12925.0,1013.0,1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37150,2017
2017-07,Colorado,4392.0,0.0,16063.0,11065.0,1004.0,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33811,2017
2017-06,Colorado,4920.0,0.0,17781.0,11298.0,1151.0,1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36459,2017
2017-05,Colorado,5408.0,0.0,17085.0,11165.0,1102.0,988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36008,2017
2017-04,Colorado,5576.0,0.0,19453.0,12407.0,1268.0,1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39989,2017
2017-03,Colorado,7030.0,0.0,21249.0,14378.0,1528.0,1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45645,2017
2017-02,Colorado,6447.0,0.0,20958.0,13477.0,1235.0,1240,3.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43577,2017
2017-01,Colorado,5619.0,0.0,17189.0,11864.0,1128.0,982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37047,2017
2016-12,Colorado,5333.0,0.0,25905.0,21134.0,1428.0,1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55428,2016
2016-11,Colorado,7129.0,0.0,24052.0,19794.0,1658.0,1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54418,2016
2016-10,Colorado,4751.0,0.0,20343.0,16962.0,1701.0,1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45337,2016
2016-09,Colorado,5593.0,0.0,17390.0,14521.0,1143.0,1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40013,2016
2016-08,Colorado,6238.0,0.0,18116.0,14054.0,1204.0,1078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40996,2016
2016-07,Colorado,6372.0,0.0,18765.0,15176.0,1505.0,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,31.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,43094,2016
2016-06,Colorado,5283.0,0.0,17790.0,15115.0,1676.0,1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,26.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,41134,2016
2016-05,Colorado,6924.0,0.0,16293.0,11252.0,934.0,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,25.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36512,2016
2016-04,Colorado,8900.0,0.0,17897.0,12560.0,1048.0,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,41636,2016
2016-03,Colorado,11129.0,0.0,20049.0,12776.0,1069.0,1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,41.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,46430,2016
2016-02,Colorado,9004.0,0.0,22384.0,13355.0,1050.0,1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,43.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47302,2016
2016-01,Colorado,8431.0,,23518.0,13327.0,1474.0,1236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,50.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,48214,2016
2015-12,Colorado,3265.0,,34653.0,22880.0,1903.0,1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,34.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,64547,2015
2015-11,Colorado,4144.0,,19784.0,16082.0,932.0,1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,34.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42271,2015
2015-10,Colorado,3732.0,,17059.0,14870.0,938.0,1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,22.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37785,2015
2015-09,Colorado,4151.0,,15186.0,12898.0,849.0,977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,34.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34229,2015
2015-08,Colorado,5851.0,,15890.0,12572.0,776.0,908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,32.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36156,2015
2015-07,Colorado,2727.0,,15828.0,10903.0,751.0,868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,38.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,31280,2015
2015-06,Colorado,4241.0,,15127.0,10700.0,722.0,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,31777,2015
2015-05,Colorado,4338.0,,15660.0,11252.0,776.0,879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33062,2015
2015-04,Colorado,5034.0,,15865.0,11795.0,935.0,961,0.0,2.0,0.0,0.0,1.0,2.0,0.0,74.0,18.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,34688,2015
2015-03,Colorado,3710.0,,17716.0,14259.0,939.0,1112,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,37740,2015
2015-02,Colorado,4142.0,,18284.0,12985.0,936.0,1170,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37520,2015
2015-01,Colorado,3404.0,,15739.0,11932.0,1031.0,897,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33007,2015
2014-12,Colorado,4623.0,,20924.0,19494.0,1067.0,1185,0.0,0.0,0.0,0.0,8.0,8.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47309,2014
2014-11,Colorado,2807.0,,15478.0,16152.0,847.0,1235,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36523,2014
2014-10,Colorado,4362.0,,14704.0,14649.0,746.0,1065,0.0,4.0,0.0,0.0,6.0,10.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35546,2014
2014-09,Colorado,3266.0,,13033.0,12658.0,639.0,899,0.0,3.0,1.0,0.0,2.0,3.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30504,2014
2014-08,Colorado,4055.0,,14088.0,12531.0,639.0,908,0.0,0.0,0.0,0.0,5.0,4.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,32230,2014
2014-07,Colorado,4049.0,,13288.0,10489.0,627.0,788,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,29247,2014
2014-06,Colorado,3583.0,,12549.0,9343.0,600.0,720,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,26802,2014
2014-05,Colorado,5543.0,,13775.0,10818.0,693.0,863,0.0,2.0,0.0,0.0,2.0,1.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,31697,2014
2014-04,Colorado,6343.0,,14888.0,11741.0,793.0,847,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,34615,2014
2014-03,Colorado,4661.0,,18478.0,13652.0,766.0,985,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,38547,2014
